Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
38	:	1716431943.722	     0.395	0	7	0	0	req 38
40	:	1716431943.768	     0.350	0	7	0	0	req 40
42	:	1716431943.899	     0.286	0	7	0	0	req 42
41	:	1716431943.867	     0.332	0	7	0	0	req 41
43	:	1716431944.034	     0.194	0	7	0	0	req 43
44	:	1716431944.122	     0.184	0	7	0	0	req 44
45	:	1716431944.128	     0.257	0	7	0	0	req 45
46	:	1716431944.200	     0.328	0	7	0	0	req 46
48	:	1716431944.237	     0.332	0	7	0	0	req 48
47	:	1716431944.208	     0.375	0	7	0	0	req 47
49	:	1716431944.328	     0.290	0	7	0	0	req 49
50	:	1716431944.400	     0.243	0	7	0	0	req 50
51	:	1716431944.535	     0.191	0	7	0	0	req 51
52	:	1716431944.578	     0.236	0	7	0	0	req 52
53	:	1716431944.595	     0.292	0	7	0	0	req 53
54	:	1716431944.635	     0.339	0	7	0	0	req 54
55	:	1716431944.657	     0.338	0	7	0	0	req 55
56	:	1716431944.747	     0.309	0	7	0	0	req 56
57	:	1716431944.822	     0.299	0	7	0	0	req 57
58	:	1716431944.892	     0.245	0	7	0	0	req 58
59	:	1716431944.987	     0.209	0	7	0	0	req 59
60	:	1716431945.048	     0.257	0	7	0	0	req 60
61	:	1716431945.065	     0.335	0	7	0	0	req 61
62	:	1716431945.136	     0.381	0	7	0	0	req 62
63	:	1716431945.149	     0.403	0	7	0	0	req 63
64	:	1716431945.207	     0.345	0	7	0	0	req 64
65	:	1716431945.362	     0.230	0	7	0	0	req 65
66	:	1716431945.406	     0.232	0	7	0	0	req 66
67	:	1716431945.574	     0.371	0	7	0	0	req 67
71	:	1716431945.653	     0.339	0	7	0	0	req 71
70	:	1716431945.634	     0.384	0	7	0	0	req 70
68	:	1716431945.579	     0.449	0	7	0	0	req 68
69	:	1716431945.589	     0.447	0	7	0	0	req 69
72	:	1716431945.953	     0.215	0	7	0	0	req 72
73	:	1716431946.003	     0.256	0	7	0	0	req 73
75	:	1716431946.036	     0.354	0	7	0	0	req 75
74	:	1716431946.027	     0.370	0	7	0	0	req 74
76	:	1716431946.047	     0.381	0	7	0	0	req 76
77	:	1716431946.175	     0.315	0	7	0	0	req 77
78	:	1716431946.276	     0.229	0	7	0	0	req 78
79	:	1716431946.396	     0.173	0	7	0	0	req 79
80	:	1716431946.401	     0.217	0	7	0	0	req 80
82	:	1716431946.505	     0.442	0	7	0	0	req 82
81	:	1716431946.489	     0.478	0	7	0	0	req 81
85	:	1716431946.631	     0.378	0	7	0	0	req 85
84	:	1716431946.581	     0.454	0	7	0	0	req 84
83	:	1716431946.522	     0.531	0	7	0	0	req 83
86	:	1716431946.949	     0.213	0	7	0	0	req 86
88	:	1716431947.023	     0.263	0	7	0	0	req 88
87	:	1716431946.976	     0.481	0	7	0	0	req 87
90	:	1716431947.074	     0.441	0	7	0	0	req 90
91	:	1716431947.173	     0.365	0	7	0	0	req 91
89	:	1716431947.061	     0.479	0	7	0	0	req 89
92	:	1716431947.300	     0.273	0	7	0	0	req 92
93	:	1716431947.513	     0.184	0	7	0	0	req 93
94	:	1716431947.520	     0.301	0	7	0	0	req 94
96	:	1716431947.573	     0.322	0	7	0	0	req 96
95	:	1716431947.558	     0.359	0	7	0	0	req 95
97	:	1716431947.590	     0.370	0	7	0	0	req 97
98	:	1716431947.715	     0.284	0	7	0	0	req 98
99	:	1716431947.822	     0.194	0	7	0	0	req 99
100	:	1716431947.903	     0.188	0	7	0	0	req 100
101	:	1716431947.971	     0.238	0	7	0	0	req 101
102	:	1716431947.979	     0.257	0	7	0	0	req 102
103	:	1716431948.032	     0.442	0	7	0	0	req 103
104	:	1716431948.043	     0.466	0	7	0	0	req 104
106	:	1716431948.221	     0.347	0	7	0	0	req 106
105	:	1716431948.102	     0.494	0	7	0	0	req 105
107	:	1716431948.241	     0.371	0	7	0	0	req 107
108	:	1716431948.479	     0.190	0	7	0	0	req 108
109	:	1716431948.521	     0.180	0	7	0	0	req 109
110	:	1716431948.621	     0.286	0	7	0	0	req 110
111	:	1716431948.628	     0.387	0	7	0	0	req 111
112	:	1716431948.634	     0.391	0	7	0	0	req 112
114	:	1716431948.717	     0.345	0	7	0	0	req 114
113	:	1716431948.684	     0.397	0	7	0	0	req 113
115	:	1716431948.921	     0.203	0	7	0	0	req 115
116	:	1716431949.022	     0.257	0	7	0	0	req 116
117	:	1716431949.032	     0.260	0	7	0	0	req 117
119	:	1716431949.100	     0.348	0	7	0	0	req 119
118	:	1716431949.076	     0.380	0	7	0	0	req 118
120	:	1716431949.149	     0.351	0	7	0	0	req 120
121	:	1716431949.292	     0.277	0	7	0	0	req 121
122	:	1716431949.323	     0.318	0	7	0	0	req 122
123	:	1716431949.455	     0.276	0	7	0	0	req 123
124	:	1716431949.461	     0.378	0	7	0	0	req 124
126	:	1716431949.601	     0.384	0	7	0	0	req 126
125	:	1716431949.527	     0.486	0	7	0	0	req 125
127	:	1716431949.651	     0.427	0	7	0	0	req 127
128	:	1716431949.749	     0.533	0	7	0	0	req 128
129	:	1716431949.847	     0.495	0	7	0	0	req 129
130	:	1716431950.020	     0.397	0	7	0	0	req 130
132	:	1716431950.090	     0.353	0	7	0	0	req 132
131	:	1716431950.030	     0.450	0	7	0	0	req 131
134	:	1716431950.348	     0.190	0	7	0	0	req 134
133	:	1716431950.285	     0.266	0	7	0	0	req 133
135	:	1716431950.445	     0.298	0	7	0	0	req 135
136	:	1716431950.447	     0.351	0	7	0	0	req 136
138	:	1716431950.549	     0.339	0	7	0	0	req 138
139	:	1716431950.559	     0.365	0	7	0	0	req 139
137	:	1716431950.492	     0.440	0	7	0	0	req 137
140	:	1716431950.748	     0.307	0	7	0	0	req 140
141	:	1716431950.808	     0.333	0	7	0	0	req 141
143	:	1716431950.933	     0.273	0	7	0	0	req 143
142	:	1716431950.892	     0.345	0	7	0	0	req 142
144	:	1716431950.941	     0.315	0	7	0	0	req 144
145	:	1716431951.064	     0.223	0	7	0	0	req 145
146	:	1716431951.175	     0.161	0	7	0	0	req 146
147	:	1716431951.259	     0.266	0	7	0	0	req 147
149	:	1716431951.266	     0.417	0	7	0	0	req 149
148	:	1716431951.263	     0.458	0	7	0	0	req 148
150	:	1716431951.303	     0.431	0	7	0	0	req 150
151	:	1716431951.351	     0.405	0	7	0	0	req 151
152	:	1716431951.526	     0.246	0	7	0	0	req 152
153	:	1716431951.688	     0.210	0	7	0	0	req 153
157	:	1716431951.782	     0.286	0	7	0	0	req 157
155	:	1716431951.743	     0.355	0	7	0	0	req 155
154	:	1716431951.734	     0.378	0	7	0	0	req 154
156	:	1716431951.771	     0.433	0	7	0	0	req 156
158	:	1716431951.908	     0.298	0	7	0	0	req 158
159	:	1716431952.077	     0.244	0	7	0	0	req 159
160	:	1716431952.105	     0.289	0	7	0	0	req 160
161	:	1716431952.127	     0.365	0	7	0	0	req 161
163	:	1716431952.226	     0.332	0	7	0	0	req 163
162	:	1716431952.215	     0.377	0	7	0	0	req 162
164	:	1716431952.354	     0.270	0	7	0	0	req 164
165	:	1716431952.405	     0.266	0	7	0	0	req 165
166	:	1716431952.496	     0.210	0	7	0	0	req 166
168	:	1716431952.610	     0.430	0	7	0	0	req 168
167	:	1716431952.591	     0.490	0	7	0	0	req 167
169	:	1716431952.635	     0.447	0	7	0	0	req 169
170	:	1716431952.687	     0.457	0	7	0	0	req 170
171	:	1716431952.716	     0.428	0	7	0	0	req 171
172	:	1716431953.046	     0.194	0	7	0	0	req 172
174	:	1716431953.097	     0.242	0	7	0	0	req 174
173	:	1716431953.090	     0.298	0	7	0	0	req 173
176	:	1716431953.168	     0.326	0	7	0	0	req 176
175	:	1716431953.155	     0.374	0	7	0	0	req 175
177	:	1716431953.255	     0.300	0	7	0	0	req 177
178	:	1716431953.344	     0.243	0	7	0	0	req 178
179	:	1716431953.447	     0.300	0	7	0	0	req 179
180	:	1716431953.505	     0.273	0	7	0	0	req 180
183	:	1716431953.599	     0.255	0	7	0	0	req 183
181	:	1716431953.565	     0.319	0	7	0	0	req 181
182	:	1716431953.573	     0.345	0	7	0	0	req 182
184	:	1716431953.754	     0.301	0	7	0	0	req 184
185	:	1716431953.792	     0.281	0	7	0	0	req 185
186	:	1716431953.858	     0.397	0	7	0	0	req 186
187	:	1716431953.900	     0.434	0	7	0	0	req 187
188	:	1716431953.931	     0.414	0	7	0	0	req 188
189	:	1716431954.060	     0.357	0	7	0	0	req 189
190	:	1716431954.077	     0.342	0	7	0	0	req 190
191	:	1716431954.260	     0.199	0	7	0	0	req 191
192	:	1716431954.340	     0.225	0	7	0	0	req 192
193	:	1716431954.350	     0.263	0	7	0	0	req 193
194	:	1716431954.434	     0.427	0	7	0	0	req 194
195	:	1716431954.449	     0.524	0	7	0	0	req 195
196	:	1716431954.468	     0.506	0	7	0	0	req 196
198	:	1716431954.618	     0.398	0	7	0	0	req 198
197	:	1716431954.573	     0.457	0	7	0	0	req 197
199	:	1716431954.867	     0.197	0	7	0	0	req 199
200	:	1716431954.975	     0.370	0	7	0	0	req 200
201	:	1716431954.977	     0.417	0	7	0	0	req 201
202	:	1716431955.028	     0.514	0	7	0	0	req 202
204	:	1716431955.079	     0.638	0	7	0	0	req 204
203	:	1716431955.055	     0.681	0	7	0	0	req 203
205	:	1716431955.346	     0.434	0	7	0	0	req 205
206	:	1716431955.398	     0.507	0	7	0	0	req 206
207	:	1716431955.545	     0.373	0	7	0	0	req 207
208	:	1716431955.723	     0.305	0	7	0	0	req 208
209	:	1716431955.746	     0.320	0	7	0	0	req 209
210	:	1716431955.794	     0.319	0	7	0	0	req 210
211	:	1716431955.908	     0.236	0	7	0	0	req 211
212	:	1716431955.926	     0.239	0	7	0	0	req 212
213	:	1716431956.031	     0.226	0	7	0	0	req 213
214	:	1716431956.078	     0.198	0	7	0	0	req 214
215	:	1716431956.124	     0.233	0	7	0	0	req 215
217	:	1716431956.175	     0.462	0	7	0	0	req 217
216	:	1716431956.155	     0.523	0	7	0	0	req 216
218	:	1716431956.269	     0.458	0	7	0	0	req 218
219	:	1716431956.285	     0.481	0	7	0	0	req 219
220	:	1716431956.370	     0.407	0	7	0	0	req 220
221	:	1716431956.644	     0.307	0	7	0	0	req 221
225	:	1716431956.804	     0.338	0	7	0	0	req 225
224	:	1716431956.791	     0.393	0	7	0	0	req 224
222	:	1716431956.718	     0.467	0	7	0	0	req 222
223	:	1716431956.730	     0.476	0	7	0	0	req 223
226	:	1716431956.959	     0.329	0	7	0	0	req 226
227	:	1716431957.152	     0.223	0	7	0	0	req 227
228	:	1716431957.190	     0.284	0	7	0	0	req 228
230	:	1716431957.216	     0.289	0	7	0	0	req 230
229	:	1716431957.200	     0.373	0	7	0	0	req 229
231	:	1716431957.305	     0.391	0	7	0	0	req 231
232	:	1716431957.395	     0.302	0	7	0	0	req 232
233	:	1716431957.484	     0.245	0	7	0	0	req 233
234	:	1716431957.510	     0.275	0	7	0	0	req 234
235	:	1716431957.582	     0.229	0	7	0	0	req 235
236	:	1716431957.721	     0.403	0	7	0	0	req 236
238	:	1716431957.733	     0.391	0	7	0	0	req 238
239	:	1716431957.798	     0.380	0	7	0	0	req 239
240	:	1716431957.821	     0.360	0	7	0	0	req 240
237	:	1716431957.729	     0.464	0	7	0	0	req 237
241	:	1716431958.128	     0.162	0	7	0	0	req 241
242	:	1716431958.135	     0.236	0	7	0	0	req 242
244	:	1716431958.208	     0.375	0	7	0	0	req 244
243	:	1716431958.192	     0.567	0	7	0	0	req 243
247	:	1716431958.385	     0.601	0	7	0	0	req 247
246	:	1716431958.308	     0.685	0	7	0	0	req 246
245	:	1716431958.222	     0.798	0	7	0	0	req 245
248	:	1716431958.589	     0.489	0	7	0	0	req 248
249	:	1716431958.768	     0.332	0	7	0	0	req 249
250	:	1716431958.990	     0.187	0	7	0	0	req 250
251	:	1716431959.002	     0.303	0	7	0	0	req 251
252	:	1716431959.030	     0.309	0	7	0	0	req 252
254	:	1716431959.111	     0.379	0	7	0	0	req 254
253	:	1716431959.094	     0.484	0	7	0	0	req 253
255	:	1716431959.185	     0.466	0	7	0	0	req 255
256	:	1716431959.315	     0.463	0	7	0	0	req 256
258	:	1716431959.496	     0.284	0	7	0	0	req 258
257	:	1716431959.348	     0.441	0	7	0	0	req 257
259	:	1716431959.582	     0.233	0	7	0	0	req 259
260	:	1716431959.666	     0.206	0	7	0	0	req 260
262	:	1716431959.783	     0.286	0	7	0	0	req 262
261	:	1716431959.780	     0.311	0	7	0	0	req 261
265	:	1716431959.885	     0.296	0	7	0	0	req 265
264	:	1716431959.826	     0.365	0	7	0	0	req 264
263	:	1716431959.800	     0.407	0	7	0	0	req 263
266	:	1716431960.074	     0.237	0	7	0	0	req 266
267	:	1716431960.095	     0.343	0	7	0	0	req 267
268	:	1716431960.190	     0.271	0	7	0	0	req 268
271	:	1716431960.323	     0.348	0	7	0	0	req 271
269	:	1716431960.199	     0.573	0	7	0	0	req 269
272	:	1716431960.442	     0.356	0	7	0	0	req 272
270	:	1716431960.215	     0.596	0	7	0	0	req 270
273	:	1716431960.471	     0.384	0	7	0	0	req 273
274	:	1716431960.680	     0.228	0	7	0	0	req 274
275	:	1716431960.774	     0.269	0	7	0	0	req 275
276	:	1716431960.808	     0.248	0	7	0	0	req 276
277	:	1716431960.820	     0.286	0	7	0	0	req 277
278	:	1716431960.908	     0.269	0	7	0	0	req 278
279	:	1716431960.922	     0.258	0	7	0	0	req 279
280	:	1716431961.046	     0.266	0	7	0	0	req 280
281	:	1716431961.060	     0.305	0	7	0	0	req 281
282	:	1716431961.114	     0.302	0	7	0	0	req 282
283	:	1716431961.190	     0.267	0	7	0	0	req 283
284	:	1716431961.199	     0.343	0	7	0	0	req 284
286	:	1716431961.368	     0.285	0	7	0	0	req 286
285	:	1716431961.363	     0.307	0	7	0	0	req 285
287	:	1716431961.427	     0.361	0	7	0	0	req 287
289	:	1716431961.551	     0.257	0	7	0	0	req 289
288	:	1716431961.462	     0.401	0	7	0	0	req 288
290	:	1716431961.656	     0.263	0	7	0	0	req 290
291	:	1716431961.679	     0.252	0	7	0	0	req 291
292	:	1716431961.809	     0.345	0	7	0	0	req 292
293	:	1716431961.817	     0.346	0	7	0	0	req 293
294	:	1716431961.871	     0.319	0	7	0	0	req 294
295	:	1716431961.931	     0.301	0	7	0	0	req 295
296	:	1716431961.944	     0.351	0	7	0	0	req 296
297	:	1716431962.163	     0.298	0	7	0	0	req 297
298	:	1716431962.168	     0.302	0	7	0	0	req 298
299	:	1716431962.201	     0.319	0	7	0	0	req 299
300	:	1716431962.244	     0.305	0	7	0	0	req 300
301	:	1716431962.310	     0.261	0	7	0	0	req 301
302	:	1716431962.468	     0.250	0	7	0	0	req 302
303	:	1716431962.476	     0.310	0	7	0	0	req 303
304	:	1716431962.532	     0.339	0	7	0	0	req 304
305	:	1716431962.563	     0.426	0	7	0	0	req 305
306	:	1716431962.585	     0.432	0	7	0	0	req 306
307	:	1716431962.728	     0.289	0	7	0	0	req 307
308	:	1716431962.792	     0.251	0	7	0	0	req 308
309	:	1716431962.881	     0.223	0	7	0	0	req 309
310	:	1716431963.020	     0.230	0	7	0	0	req 310
311	:	1716431963.027	     0.335	0	7	0	0	req 311
313	:	1716431963.052	     0.398	0	7	0	0	req 313
312	:	1716431963.035	     0.482	0	7	0	0	req 312
314	:	1716431963.114	     0.412	0	7	0	0	req 314
315	:	1716431963.260	     0.315	0	7	0	0	req 315
316	:	1716431963.375	     0.252	0	7	0	0	req 316
317	:	1716431963.453	     0.200	0	7	0	0	req 317
318	:	1716431963.525	     0.260	0	7	0	0	req 318
319	:	1716431963.532	     0.379	0	7	0	0	req 319
320	:	1716431963.591	     0.335	0	7	0	0	req 320
322	:	1716431963.663	     0.306	0	7	0	0	req 322
321	:	1716431963.641	     0.342	0	7	0	0	req 321
323	:	1716431963.796	     0.236	0	7	0	0	req 323
324	:	1716431963.917	     0.533	0	7	0	0	req 324
325	:	1716431963.930	     0.549	0	7	0	0	req 325
327	:	1716431963.998	     0.509	0	7	0	0	req 327
326	:	1716431963.991	     0.528	0	7	0	0	req 326
328	:	1716431964.063	     0.480	0	7	0	0	req 328
329	:	1716431964.453	     0.162	0	7	0	0	req 329
330	:	1716431964.486	     0.218	0	7	0	0	req 330
331	:	1716431964.518	     0.323	0	7	0	0	req 331
333	:	1716431964.554	     0.450	0	7	0	0	req 333
332	:	1716431964.532	     0.473	0	7	0	0	req 332
334	:	1716431964.628	     0.421	0	7	0	0	req 334
335	:	1716431964.713	     0.388	0	7	0	0	req 335
336	:	1716431964.848	     0.273	0	7	0	0	req 336
338	:	1716431965.013	     0.242	0	7	0	0	req 338
337	:	1716431965.008	     0.270	0	7	0	0	req 337
339	:	1716431965.060	     0.325	0	7	0	0	req 339
340	:	1716431965.117	     0.414	0	7	0	0	req 340
341	:	1716431965.134	     0.398	0	7	0	0	req 341
343	:	1716431965.323	     0.246	0	7	0	0	req 343
342	:	1716431965.259	     0.345	0	7	0	0	req 342
344	:	1716431965.387	     0.232	0	7	0	0	req 344
345	:	1716431965.536	     0.164	0	7	0	0	req 345
346	:	1716431965.540	     0.194	0	7	0	0	req 346
347	:	1716431965.623	     0.243	0	7	0	0	req 347
348	:	1716431965.627	     0.395	0	7	0	0	req 348
349	:	1716431965.630	     0.429	0	7	0	0	req 349
350	:	1716431965.717	     0.415	0	7	0	0	req 350
352	:	1716431965.868	     0.270	0	7	0	0	req 352
351	:	1716431965.743	     0.405	0	7	0	0	req 351
353	:	1716431966.025	     0.253	0	7	0	0	req 353
354	:	1716431966.066	     0.424	0	7	0	0	req 354
357	:	1716431966.156	     0.374	0	7	0	0	req 357
355	:	1716431966.139	     0.401	0	7	0	0	req 355
356	:	1716431966.148	     0.394	0	7	0	0	req 356
358	:	1716431966.284	     0.281	0	7	0	0	req 358
359	:	1716431966.494	     0.199	0	7	0	0	req 359
360	:	1716431966.540	     0.275	0	7	0	0	req 360
361	:	1716431966.552	     0.340	0	7	0	0	req 361
362	:	1716431966.565	     0.371	0	7	0	0	req 362
363	:	1716431966.575	     0.430	0	7	0	0	req 363
364	:	1716431966.704	     0.331	0	7	0	0	req 364
365	:	1716431966.819	     0.276	0	7	0	0	req 365
366	:	1716431966.894	     0.213	0	7	0	0	req 366
367	:	1716431966.945	     0.197	0	7	0	0	req 367
369	:	1716431967.050	     0.157	0	7	0	0	req 369
368	:	1716431967.034	     0.216	0	7	0	0	req 368
371	:	1716431967.150	     0.301	0	7	0	0	req 371
370	:	1716431967.141	     0.320	0	7	0	0	req 370
372	:	1716431967.157	     0.365	0	7	0	0	req 372
374	:	1716431967.266	     0.282	0	7	0	0	req 374
373	:	1716431967.221	     0.328	0	7	0	0	req 373
375	:	1716431967.465	     0.253	0	7	0	0	req 375
376	:	1716431967.476	     0.243	0	7	0	0	req 376
377	:	1716431967.532	     0.332	0	7	0	0	req 377
378	:	1716431967.561	     0.335	0	7	0	0	req 378
379	:	1716431967.581	     0.351	0	7	0	0	req 379
380	:	1716431967.728	     0.246	0	7	0	0	req 380
381	:	1716431967.738	     0.269	0	7	0	0	req 381
383	:	1716431967.907	     0.184	0	7	0	0	req 383
382	:	1716431967.902	     0.232	0	7	0	0	req 382
384	:	1716431967.948	     0.276	0	7	0	0	req 384
385	:	1716431967.987	     0.259	0	7	0	0	req 385
386	:	1716431968.017	     0.384	0	7	0	0	req 386
387	:	1716431968.098	     0.305	0	7	0	0	req 387
388	:	1716431968.159	     0.291	0	7	0	0	req 388
390	:	1716431968.255	     0.245	0	7	0	0	req 390
389	:	1716431968.247	     0.272	0	7	0	0	req 389
391	:	1716431968.437	     0.276	0	7	0	0	req 391
393	:	1716431968.458	     0.360	0	7	0	0	req 393
392	:	1716431968.448	     0.373	0	7	0	0	req 392
395	:	1716431968.530	     0.364	0	7	0	0	req 395
394	:	1716431968.518	     0.388	0	7	0	0	req 394
396	:	1716431968.723	     0.238	0	7	0	0	req 396
397	:	1716431968.820	     0.435	0	7	0	0	req 397
399	:	1716431968.906	     0.388	0	7	0	0	req 399
398	:	1716431968.823	     0.476	0	7	0	0	req 398
401	:	1716431968.974	     0.362	0	7	0	0	req 401
400	:	1716431968.953	     0.393	0	7	0	0	req 400
402	:	1716431969.263	     0.200	0	7	0	0	req 402
403	:	1716431969.299	     0.348	0	7	0	0	req 403
404	:	1716431969.307	     0.350	0	7	0	0	req 404
405	:	1716431969.347	     0.360	0	7	0	0	req 405
406	:	1716431969.359	     0.367	0	7	0	0	req 406
407	:	1716431969.478	     0.269	0	7	0	0	req 407
408	:	1716431969.686	     0.213	0	7	0	0	req 408
409	:	1716431969.700	     0.375	0	7	0	0	req 409
410	:	1716431969.716	     0.411	0	7	0	0	req 410
412	:	1716431969.755	     0.382	0	7	0	0	req 412
413	:	1716431969.916	     0.298	0	7	0	0	req 413
411	:	1716431969.745	     0.514	0	7	0	0	req 411
414	:	1716431970.077	     0.188	0	7	0	0	req 414
415	:	1716431970.138	     0.338	0	7	0	0	req 415
416	:	1716431970.145	     0.345	0	7	0	0	req 416
417	:	1716431970.223	     0.335	0	7	0	0	req 417
419	:	1716431970.272	     0.287	0	7	0	0	req 419
418	:	1716431970.265	     0.314	0	7	0	0	req 418
420	:	1716431970.486	     0.182	0	7	0	0	req 420
421	:	1716431970.493	     0.220	0	7	0	0	req 421
422	:	1716431970.568	     0.347	0	7	0	0	req 422
424	:	1716431970.586	     0.350	0	7	0	0	req 424
423	:	1716431970.580	     0.379	0	7	0	0	req 423
425	:	1716431970.682	     0.307	0	7	0	0	req 425
426	:	1716431970.720	     0.290	0	7	0	0	req 426
428	:	1716431970.945	     0.217	0	7	0	0	req 428
427	:	1716431970.919	     0.266	0	7	0	0	req 427
429	:	1716431970.962	     0.310	0	7	0	0	req 429
431	:	1716431971.020	     0.293	0	7	0	0	req 431
430	:	1716431971.001	     0.332	0	7	0	0	req 430
432	:	1716431971.172	     0.255	0	7	0	0	req 432
433	:	1716431971.196	     0.248	0	7	0	0	req 433
434	:	1716431971.275	     0.399	0	7	0	0	req 434
435	:	1716431971.321	     0.390	0	7	0	0	req 435
436	:	1716431971.345	     0.381	0	7	0	0	req 436
438	:	1716431971.453	     0.277	0	7	0	0	req 438
437	:	1716431971.444	     0.345	0	7	0	0	req 437
439	:	1716431971.682	     0.210	0	7	0	0	req 439
442	:	1716431971.750	     0.285	0	7	0	0	req 442
440	:	1716431971.727	     0.463	0	7	0	0	req 440
441	:	1716431971.744	     0.447	0	7	0	0	req 441
443	:	1716431971.805	     0.409	0	7	0	0	req 443
444	:	1716431971.903	     0.363	0	7	0	0	req 444
445	:	1716431972.039	     0.239	0	7	0	0	req 445
446	:	1716431972.206	     0.176	0	7	0	0	req 446
448	:	1716431972.222	     0.281	0	7	0	0	req 448
447	:	1716431972.215	     0.344	0	7	0	0	req 447
450	:	1716431972.291	     0.302	0	7	0	0	req 450
449	:	1716431972.277	     0.368	0	7	0	0	req 449
451	:	1716431972.398	     0.306	0	7	0	0	req 451
452	:	1716431972.507	     0.286	0	7	0	0	req 452
453	:	1716431972.561	     0.338	0	7	0	0	req 453
454	:	1716431972.597	     0.372	0	7	0	0	req 454
455	:	1716431972.656	     0.324	0	7	0	0	req 455
456	:	1716431972.709	     0.270	0	7	0	0	req 456
457	:	1716431972.796	     0.213	0	7	0	0	req 457
458	:	1716431972.903	     0.152	0	7	0	0	req 458
460	:	1716431972.997	     0.342	0	7	0	0	req 460
462	:	1716431973.016	     0.366	0	7	0	0	req 462
459	:	1716431972.995	     0.426	0	7	0	0	req 459
463	:	1716431973.070	     0.353	0	7	0	0	req 463
461	:	1716431973.005	     0.425	0	7	0	0	req 461
464	:	1716431973.370	     0.205	0	7	0	0	req 464
465	:	1716431973.392	     0.321	0	7	0	0	req 465
466	:	1716431973.430	     0.365	0	7	0	0	req 466
468	:	1716431973.448	     0.401	0	7	0	0	req 468
467	:	1716431973.439	     0.411	0	7	0	0	req 467
469	:	1716431973.581	     0.351	0	7	0	0	req 469
470	:	1716431973.750	     0.226	0	7	0	0	req 470
471	:	1716431973.805	     0.201	0	7	0	0	req 471
473	:	1716431973.868	     0.308	0	7	0	0	req 473
472	:	1716431973.858	     0.397	0	7	0	0	req 472
474	:	1716431973.958	     0.536	0	7	0	0	req 474
476	:	1716431974.020	     0.502	0	7	0	0	req 476
475	:	1716431973.983	     0.560	0	7	0	0	req 475
477	:	1716431974.263	     0.312	0	7	0	0	req 477
478	:	1716431974.294	     0.373	0	7	0	0	req 478
479	:	1716431974.502	     0.192	0	7	0	0	req 479
480	:	1716431974.531	     0.256	0	7	0	0	req 480
481	:	1716431974.548	     0.314	0	7	0	0	req 481
482	:	1716431974.589	     0.490	0	7	0	0	req 482
483	:	1716431974.682	     0.442	0	7	0	0	req 483
484	:	1716431974.702	     0.453	0	7	0	0	req 484
485	:	1716431974.806	     0.371	0	7	0	0	req 485
486	:	1716431974.891	     0.368	0	7	0	0	req 486
487	:	1716431975.081	     0.215	0	7	0	0	req 487
488	:	1716431975.138	     0.290	0	7	0	0	req 488
489	:	1716431975.157	     0.320	0	7	0	0	req 489
490	:	1716431975.191	     0.388	0	7	0	0	req 490
492	:	1716431975.305	     0.283	0	7	0	0	req 492
491	:	1716431975.266	     0.332	0	7	0	0	req 491
493	:	1716431975.434	     0.203	0	7	0	0	req 493
494	:	1716431975.531	     0.397	0	7	0	0	req 494
495	:	1716431975.588	     0.425	0	7	0	0	req 495
496	:	1716431975.597	     0.419	0	7	0	0	req 496
497	:	1716431975.601	     0.422	0	7	0	0	req 497
